States,Years,Value
"Maharastra","2010",3141
"Andhra Pradesh","2010",2525
"Karnataka","2010",2585
"M.P","2010",1237
"Tamil Nadu","2010",541
"U.P","2010",548
"Other States","2010",5356
"Maharastra","2011",3337
"Andhra Pradesh","2011",2206
"Karnataka","2011",2100
"M.P","2011",1326
"Tamil Nadu","2011",623
"U.P","2011",645
"Other States","2011",3767
"Maharastra","2012",3786
"Andhra Pradesh","2012",2572
"Karnataka","2012",1875
"M.P","2012",1172
"Tamil Nadu","2012",499
"U.P","2012",745
"Other States","2012",3078
"Maharastra","2013",3146
"Andhra Pradesh","2013",2014
"Karnataka","2013",1403
"M.P","2013",1090
"Tamil Nadu","2013",105
"U.P","2013",750
"Other States","2013",3236
