States,Farmers/Cultivators,Agricultural Labourers,Total(2014)
"ANDHRA PRADESH",472,632,1104
"ARUNACHAL PRADESH",3,3,6
"ASSAM",38,59,97
"BIHAR",10,10,20
"CHHATTISGARH",312,755,1067
"GOA",0,0,0
"GUJARAT",555,600,1155
"HARYANA",105,119,224
"HIMACHAL PRADESH",31,63,94
"JAMMU & KASHMIR",25,37,62
"JHARKHAND",4,4,8
"KARNATAKA",447,768,1215
"KERALA",700,807,1507
"MADHYA PRADESH",372,1198,1570
"MAHARASHTRA",1436,4004,5440
"MANIPUR",0,0,0
"MEGHALAYA",2,2,4
"MIZORAM",5,5,10
"NAGALAND",0,0,0
"ODISHA",97,102,199
"PUNJAB",40,64,104
"RAJASTHAN",373,373,746
"SIKKIM",0,35,35
"TAMIL NADU",827,895,1722
"TELANGANA",449,1347,1796
"TRIPURA",32,32,64
"UTTAR PRADESH",129,192,321
"UTTARAKHAND",0,0,0
"WEST BENGAL",230,230,460
