States,Farmer/Cultivators,Agricultural Labourers,Total(2015)
"ANDHRA PRADESH",516,400,916
"ARUNACHAL PRADESH",7,3,10
"ASSAM",84,54,138
"BIHAR",0,7,7
"CHHATTISGARH",854,100,954
"GOA",0,0,0
"GUJARAT",57,244,301
"HARYANA",28,134,162
"HIMACHAL PRADESH",0,46,46
"JAMMU & KASHMIR",0,21,21
"JHARKHAND",0,21,21
"KARNATAKA",1197,372,1569
"KERALA",3,207,210
"MADHYA PRADESH",581,709,1290
"MAHARASHTRA",3030,1261,4291
"MANIPUR",1,0,1
"MEGHALAYA",2,1,3
"MIZORAM",0,1,1
"NAGALAND",0,0,0
"ODISHA",23,27,50
"PUNJAB",100,24,124
"RAJASTHAN",3,73,76
"SIKKIM",15,3,18
"TAMIL NADU",2,604,606
"TELANGANA",1358,42,1400
"TRIPURA",1,48,49
"UTTAR PRADESH",145,179,324
"UTTARAKHAND",0,2,2
"WEST BENGAL",0,0,0
