State_UT,Year,Total_suicides
"Sikkim",2017,7
"Uttar Pradesh",2017,110
"Kerala",2017,42
"Tamil Nadu",2017,19
"Gujarat",2017,4
"Himachal Pradesh",2017,4
"Assam",2017,3
"Rajasthan",2017,3
"Andaman and Nicobar Islands",2017,2
"Jammu and Kashmir",2017,0
"Dadra and Nagar Haveli and Daman and Diu",2017,0
"Arunachal Pradesh",2017,0
"Haryana",2017,0
"Mizoram",2017,0
"Nagaland",2017,0
"Meghalaya",2017,0
"Punjab",2017,243
"Chhattisgarh",2017,285
"Manipur",2017,0
"Karnataka",2017,1157
"Madhya Pradesh",2017,429
"Andhra Pradesh",2017,375
"Maharashtra",2017,2426
"Telangana",2017,846
"Andhra Pradesh",2018,365
"Rajasthan",2018,2
"Telangana",2018,900
"Kerala",2018,25
"Gujarat",2018,21
"Mizoram",2018,17
"Manipur",2018,2
"Jammu and Kashmir",2018,5
"Assam",2018,5
"Himachal Pradesh",2018,5
"Tamil Nadu",2018,6
"Andaman and Nicobar Islands",2018,4
"Uttar Pradesh",2018,80
"Sikkim",2018,1
"Chhattisgarh",2018,182
"Madhya Pradesh",2018,303
"Meghalaya",2018,0
"Nagaland",2018,0
"Punjab",2018,229
"Haryana",2018,0
"Maharashtra",2018,2239
"Dadra and Nagar Haveli and Daman and Diu",2018,7
"Arunachal Pradesh",2018,0
"Karnataka",2018,1365
"Arunachal Pradesh",2019,0
"Andhra Pradesh",2019,628
"Jammu and Kashmir",2019,0
"Haryana",2019,0
"Rajasthan",2019,2
"Andaman and Nicobar Islands",2019,5
"Nagaland",2019,0
"Karnataka",2019,1331
"Dadra and Nagar Haveli and Daman and Diu",2019,7
"Tamil Nadu",2019,6
"Meghalaya",2019,0
"Gujarat",2019,3
"Sikkim",2019,0
"Maharashtra",2019,2680
"Madhya Pradesh",2019,142
"Telangana",2019,491
"Manipur",2019,0
"Punjab",2019,239
"Assam",2019,26
"Himachal Pradesh",2019,12
"Chhattisgarh",2019,233
"Uttar Pradesh",2019,108
"Kerala",2019,22
"Mizoram",2019,22
"Uttar Pradesh",2020,87
"Jammu and Kashmir",2020,0
"Rajasthan",2020,0
"Dadra and Nagar Haveli and Daman and Diu",2020,6
"Punjab",2020,174
"Chhattisgarh",2020,227
"Haryana",2020,0
"Maharashtra",2020,2567
"Madhya Pradesh",2020,235
"Nagaland",2020,0
"Telangana",2020,466
"Arunachal Pradesh",2020,1
"Manipur",2020,1
"Tamil Nadu",2020,79
"Gujarat",2020,5
"Andhra Pradesh",2020,564
"Himachal Pradesh",2020,6
"Assam",2020,12
"Meghalaya",2020,4
"Sikkim",2020,6
"Mizoram",2020,4
"Karnataka",2020,1072
"Kerala",2020,57
"Andaman and Nicobar Islands",2020,6
"Maharashtra",2021,2640
"Sikkim",2021,8
"Uttar Pradesh",2021,13
"Mizoram",2021,0
"Himachal Pradesh",2021,13
"Telangana",2021,352
"Haryana",2021,13
"Manipur",2021,0
"Dadra and Nagar Haveli and Daman and Diu",2021,14
"Assam",2021,153
"Gujarat",2021,0
"Tamil Nadu",2021,61
"Madhya Pradesh",2021,117
"Arunachal Pradesh",2021,0
"Andhra Pradesh",2021,481
"Rajasthan",2021,0
"Karnataka",2021,1170
"Meghalaya",2021,3
"Kerala",2021,34
"Jammu and Kashmir",2021,1
"Nagaland",2021,1
"Andaman and Nicobar Islands",2021,2
"Punjab",2021,171
"Chhattisgarh",2021,71
