Male,Female,Total(large),States
1,0,1,"ANDHRA PRADESH"
0,0,0,"ARUNACHAL PRADESH"
0,0,0,"ASSAM"
0,0,0,"BIHAR"
20,3,23,"CHHATTISGARH"
0,0,0,"GOA"
3,1,4,"GUJARAT"
2,0,2,"HARYANA"
0,0,0,"HIMACHAL PRADESH"
0,0,0,"JAMMU & KASHMIR"
0,0,0,"JHARKHAND"
3,1,4,"KARNATAKA"
2,0,2,"KERALA"
6,0,6,"MADHYA PRADESH"
61,1,62,"MAHARASHTRA"
0,0,0,"MANIPUR"
0,0,0,"MEGHALAYA"
0,0,0,"MIZORAM"
0,0,0,"NAGALAND"
0,0,0,"ODISHA"
0,0,0,"PUNJAB"
0,0,0,"RAJASTHAN"
0,0,0,"SIKKIM"
0,0,0,"TAMIL NADU"
16,10,26,"TELANGANA"
0,0,0,"TRIPURA"
1,0,1,"UTTAR PRADESH"
0,0,0,"UTTARAKHAND"
0,0,0,"WEST BENGAL"
