States,Male,Female,Total(large)
"ANDHRA PRADESH",2,0,2
"ARUNACHAL PRADESH",0,0,0
"ASSAM",8,0,8
"BIHAR",0,0,0
"CHHATTISGARH",33,4,37
"GOA",0,0,0
"GUJARAT",4,1,5
"HARYANA",0,0,0
"HIMACHAL PRADESH",0,0,0
"JAMMU & KASHMIR",0,0,0
"JHARKHAND",0,0,0
"KARNATAKA",2,0,2
"KERALA",0,0,0
"MADHYA PRADESH",4,0,4
"MAHARASHTRA",12,0,12
"MANIPUR",0,0,0
"MEGHALAYA",0,0,0
"MIZORAM",0,0,0
"NAGALAND",0,0,0
"ODISHA",0,0,0
"PUNJAB",1,0,1
"RAJASTHAN",0,0,0
"SIKKIM",0,0,0
"TAMIL NADU",0,0,0
"TELANGANA",64,15,79
"TRIPURA",0,0,0
"UTTAR PRADESH",8,2,10
"UTTARAKHAND",0,0,0
"WEST BENGAL",0,0,0
