Male,Female,Total(medium),STATES
46,1,47,"ANDHRA PRADESH"
0,0,0,"ARUNACHAL PRADESH"
7,0,7,"ASSAM"
0,0,0,"BIHAR"
78,11,89,"CHHATTISGARH"
0,0,0,"GOA"
17,13,30,"GUJARAT"
10,0,10,"HARYANA"
0,0,0,"HIMACHAL PRADESH"
1,0,1,"JAMMU & KASHMIR"
0,0,0,"JHARKHAND"
100,17,117,"KARNATAKA"
18,0,18,"KERALA"
133,17,150,"MADHYA PRADESH"
533,11,544,"MAHARASHTRA"
0,0,0,"MANIPUR"
0,0,0,"MEGHALAYA"
0,0,0,"MIZORAM"
0,0,0,"NAGALAND"
0,0,0,"ODISHA"
7,0,7,"PUNJAB"
0,0,0,"RAJASTHAN"
11,2,13,"SIKKIM"
3,0,3,"TAMIL NADU"
299,78,377,"TELANGANA"
0,0,0,"TRIPURA"
11,0,11,"UTTAR PRADESH"
0,0,0,"UTTARAKHAND"
0,0,0,"WEST BENGAL"
