States,Male,Female,Total(small)
"ANDHRA PRADESH",152,11,163
"ARUNACHAL PRADESH",7,0,7
"ASSAM",17,0,17
"BIHAR",0,0,0
"CHHATTISGARH",305,5,310
"GOA",0,0,0
"GUJARAT",27,2,29
"HARYANA",7,0,7
"HIMACHAL PRADESH",0,0,0
"JAMMU & KASHMIR",0,0,0
"JHARKHAND",0,0,0
"KARNATAKA",733,18,751
"KERALA",2,0,2
"MADHYA PRADESH",278,11,289
"MAHARASHTRA",1248,37,1285
"MANIPUR",0,0,0
"MEGHALAYA",1,0,1
"MIZORAM",0,0,0
"NAGALAND",0,0,0
"ODISHA",7,0,7
"PUNJAB",69,1,70
"RAJASTHAN",2,0,2
"SIKKIM",11,3,14
"TAMIL NADU",2,0,2
"TELANGANA",555,50,605
"TRIPURA",1,0,1
"UTTAR PRADESH",46,10,56
"UTTARAKHAND",0,0,0
"WEST BENGAL",0,0,0
